week,chapter_name,start_page
12,English French German Suit,366
12,Minds and thoughts,369
13,Aria with Diverse Variations,391
13,BlooP and FlooP and GlooP,406
14,Air on G's String,431
14,On Formally Undecidable Propositions of TNT and Related Systems,438
15,Birthday Cantatatata...,461
15,Jumping out of the System,465
16,Edifying Thoughts of a Tobacco Smoker,480
16,Self-Ref and Self-Rep,495
18,"The Magnificrab, Indeed",549
18,"Church, Turing, Tarski, and Others",559
19,"SHRDLU, Toy of Man's Designing",586
19,"Artificial Intelligence: Retrospects",594
20,Contrafactus,633
20,Artificial Intelligence: Prospects,641
21,Sloth Canon,681
21,"Strange Loops, Or Tangled Hierarchies",684
22,Six-Part Ricercar,720
22,Notes,743
23,Done!,746
